iter	Logloss
0	0.6719590195
1	0.6530241703
2	0.6352876747
3	0.6202390181
4	0.6059184103
5	0.5940474352
6	0.5831716339
7	0.5731024745
8	0.5642014042
9	0.5551363483
10	0.5484527715
11	0.5418391595
12	0.5362447046
13	0.5306134054
14	0.5247652621
15	0.5195072955
16	0.515172554
17	0.5108483522
18	0.5074451928
19	0.502773259
20	0.4998296234
21	0.4968847125
22	0.4936206867
23	0.4903784555
24	0.4875741978
25	0.4846472628
26	0.4823167873
27	0.4798769316
28	0.4777148563
29	0.4752908895
30	0.4730718098
31	0.470658906
32	0.4691696994
33	0.4662653128
34	0.4635392946
35	0.461876798
36	0.460554565
37	0.4590799213
38	0.4576955948
39	0.4564149331
40	0.4546372377
41	0.4531596803
42	0.4513722305
43	0.4496831862
44	0.4471715854
45	0.4459281608
46	0.4442246541
47	0.4422503345
48	0.4408535732
49	0.439278659
50	0.4378949295
51	0.4368734008
52	0.4353693099
53	0.4333365046
54	0.432090719
55	0.4312101311
56	0.4299704387
57	0.4280928943
58	0.4271200592
59	0.4259958805
60	0.4245246124
61	0.4234321009
62	0.4219954144
63	0.421002118
64	0.4197132614
65	0.4186906391
66	0.4176507121
67	0.4160941131
68	0.4150019716
69	0.4142554486
70	0.4127256293
71	0.411786075
72	0.4108087421
73	0.4097964185
74	0.4087385451
75	0.4077641608
76	0.4069951211
77	0.4059985848
78	0.4053804176
79	0.4045120217
80	0.4035986363
81	0.4026529508
82	0.4019417174
83	0.4006224608
84	0.399441176
85	0.3982255597
86	0.3971754852
87	0.3959103362
88	0.3946067762
89	0.3936971632
90	0.3924828082
91	0.3915823016
92	0.3902854779
93	0.3894423802
94	0.3885888884
95	0.3870188397
96	0.385946676
97	0.3852163711
98	0.3842089808
99	0.3829168781
100	0.3818403244
101	0.380688291
102	0.3799744813
103	0.379344871
104	0.3784374897
105	0.3775201473
106	0.3761835068
107	0.3753836319
108	0.374228103
109	0.3737592274
110	0.3724879824
111	0.3716305904
112	0.3707994585
113	0.3698454264
114	0.369190427
115	0.368023982
116	0.3674814514
117	0.3665116286
118	0.3655135128
119	0.3645558309
120	0.3637434083
121	0.3629631388
122	0.3625635329
123	0.3618843142
124	0.361081841
125	0.3604931872
126	0.3595925162
127	0.3588530159
128	0.358060212
129	0.3576203888
130	0.3569185747
131	0.3560910451
132	0.355388514
133	0.3546091995
134	0.3538293769
135	0.3527565154
136	0.3522119321
137	0.3514755108
138	0.3506969695
139	0.349492144
140	0.3487799821
141	0.3479575709
142	0.3470958937
143	0.3463532675
144	0.345773477
145	0.3449780747
146	0.3442107956
147	0.342966983
148	0.3424814453
149	0.3418173356
150	0.3411911648
151	0.3402612711
152	0.3395704307
153	0.3388252723
154	0.3383502167
155	0.3373836097
156	0.3365835928
157	0.3362137671
158	0.3353195395
159	0.3349360953
160	0.3340252826
161	0.3332630466
162	0.3326721863
163	0.3319732154
164	0.3312118166
165	0.3306110326
166	0.3300597823
167	0.3292919646
168	0.3289919149
169	0.3285145139
170	0.3279124583
171	0.3269756523
172	0.3262091233
173	0.3257234254
174	0.3252538067
175	0.3246973362
176	0.3238043304
177	0.3230331185
178	0.3224773239
179	0.3217725859
180	0.3214722579
181	0.3209183234
182	0.3202365867
183	0.3196381458
184	0.3190870432
185	0.318587689
186	0.3182135336
187	0.3175830555
188	0.3169382663
189	0.3163222847
190	0.3158612954
191	0.3153218018
192	0.3147564728
193	0.3143618864
194	0.3136691257
195	0.3133869233
196	0.3128387958
197	0.3123998074
198	0.3119607015
199	0.3113605226
200	0.3110307485
201	0.310580695
202	0.309877591
203	0.3095403864
204	0.3091217122
205	0.3087195939
206	0.3082068194
207	0.3077289801
208	0.3072854984
209	0.3063679711
210	0.3058910001
211	0.3053262537
212	0.3049006154
213	0.3041205898
214	0.3039322728
215	0.3034326983
216	0.3028275728
217	0.302161857
218	0.3016556251
219	0.301039762
220	0.3007235022
221	0.3001291434
222	0.2996630997
223	0.2989447077
224	0.2983788427
225	0.2978470407
226	0.2968602137
227	0.2962837791
228	0.2957596547
229	0.2952421578
230	0.2945816838
231	0.2940898828
232	0.2936825484
233	0.2930387189
234	0.292652422
235	0.2919893168
236	0.2914718586
237	0.2910888695
238	0.2906965397
239	0.2902804535
240	0.2896630823
241	0.28914768
242	0.288728047
243	0.288249791
244	0.2876892753
245	0.2872675318
246	0.2867046426
247	0.2863234306
248	0.2858761776
249	0.2854048872
250	0.2849557305
251	0.2843622367
252	0.2839713562
253	0.283553085
254	0.2829073822
255	0.2823919078
256	0.2818515347
257	0.2815364655
258	0.2810965464
259	0.2808162147
